//Item   EffectIndex   EffectSize   EffectBone   ColorR   ColorG   ColorB
6344 	 2024 	       1.0    	    12 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    16 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    17 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    41 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    43 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    44 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    41 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    45 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    49 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    00 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    04 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    06 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    52 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    55 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    59 		 	 1.00	  0.58	   0.00
6344 	 2024 	       1.0    	    62 		 	 1.00	  0.58	   0.00
end
